step,loss,loss_recon,lr_model
20,0.3074,0.08015,1.2e-07
40,0.28369,0.07813,1.2e-07
60,0.28969,0.07603,1.21e-07
80,0.26485,0.07375,1.22e-07
100,0.28743,0.07134,1.23e-07
120,0.25415,0.06889,1.24e-07
140,0.23178,0.06637,1.26e-07
160,0.2274,0.06382,1.27e-07
180,0.21761,0.0612,1.29e-07
200,0.24794,0.0585,1.31e-07
220,0.21806,0.05572,1.34e-07
240,0.21723,0.05283,1.36e-07
260,0.21969,0.04982,1.39e-07
280,0.21371,0.0467,1.42e-07
300,0.20946,0.04346,1.46e-07
320,0.21244,0.0401,1.49e-07
340,0.2224,0.03664,1.53e-07
360,0.20353,0.03308,1.57e-07
380,0.20535,0.02946,1.61e-07
400,0.20407,0.0258,1.65e-07
420,0.20195,0.02215,1.7e-07
440,0.18244,0.01857,1.75e-07
460,0.16264,0.01513,1.8e-07
480,0.18395,0.01192,1.85e-07
500,0.17375,0.009,1.91e-07
520,0.17058,0.00647,1.96e-07
540,0.18341,0.00438,2.02e-07
560,0.16557,0.00276,2.08e-07
580,0.19865,0.00159,2.15e-07
600,0.17565,0.00083,2.21e-07
620,0.16604,0.00039,2.28e-07
640,0.16627,0.00016,2.35e-07
660,0.16596,5e-05,2.42e-07
680,0.16751,1e-05,2.49e-07
700,0.16389,0.0,2.57e-07
720,0.16079,0.0,2.65e-07
740,0.16569,0.0,2.73e-07
760,0.17434,0.0,2.81e-07
780,0.17388,0.0,2.9e-07
800,0.17401,0.0,2.98e-07
820,0.16615,0.0,3.07e-07
840,0.16816,0.0,3.16e-07
860,0.15592,0.0,3.25e-07
880,0.17306,0.0,3.35e-07
900,0.17939,0.0,3.44e-07
920,0.16157,0.0,3.54e-07
940,0.1749,0.0,3.64e-07
960,0.16526,0.0,3.74e-07
980,0.15895,0.0,3.85e-07
1000,0.16319,0.0,3.95e-07
1020,0.15933,0.0,4.06e-07
1040,0.16026,0.0,4.17e-07
1060,0.16863,0.0,4.28e-07
1080,0.15455,0.0,4.39e-07
1100,0.17466,0.0,4.51e-07
1120,0.15496,0.0,4.62e-07
1140,0.15559,0.0,4.74e-07
1160,0.15822,0.0,4.86e-07
1180,0.1537,0.0,4.98e-07
1200,0.14908,0.0,5.1e-07
1220,0.15978,0.0,5.23e-07
1240,0.15777,0.0,5.36e-07
1260,0.16505,0.0,5.48e-07
1280,0.18581,0.0,5.61e-07
1300,0.16537,0.0,5.74e-07
1320,0.17682,0.0,5.88e-07
1340,0.17941,0.0,6.01e-07
1360,0.15348,0.0,6.15e-07
1380,0.15096,0.0,6.28e-07
1400,0.14387,0.0,6.42e-07
1420,0.15062,0.0,6.56e-07
1440,0.18774,0.0,6.7e-07
1460,0.16141,0.0,6.85e-07
1480,0.17761,0.0,6.99e-07
1500,0.15826,0.0,7.14e-07
1520,0.15362,0.0,7.29e-07
1540,0.13549,0.0,7.43e-07
1560,0.14499,0.0,7.58e-07
1580,0.13537,0.0,7.73e-07
1600,0.16417,0.0,7.89e-07
1620,0.16458,0.0,8.04e-07
1640,0.17055,0.0,8.19e-07
1660,0.16493,0.0,8.35e-07
1680,0.15146,0.0,8.51e-07
1700,0.1734,0.0,8.67e-07
1720,0.16256,0.0,8.82e-07
1740,0.17495,0.0,8.98e-07
1760,0.1586,0.0,9.15e-07
1780,0.16772,0.0,9.31e-07
1800,0.16727,0.0,9.47e-07
1820,0.1696,0.0,9.64e-07
1840,0.16268,0.0,9.8e-07
1860,0.1672,0.0,9.97e-07
1880,0.17405,0.0,1.01e-06
1900,0.15649,0.0,1.03e-06
1920,0.17038,0.0,1.05e-06
1940,0.15563,0.0,1.06e-06
1960,0.17124,0.0,1.08e-06
1980,0.14687,0.0,1.1e-06
2000,0.17317,0.0,1.12e-06
2020,0.16557,0.0,1.13e-06
2040,0.16078,0.0,1.15e-06
2060,0.15069,0.0,1.17e-06
2080,0.17788,0.0,1.18e-06
2100,0.16231,0.0,1.2e-06
2120,0.16206,0.0,1.22e-06
2140,0.15391,0.0,1.24e-06
2160,0.16839,0.0,1.26e-06
2180,0.16674,0.0,1.27e-06
2200,0.16246,0.0,1.29e-06
2220,0.14751,0.0,1.31e-06
2240,0.14989,0.0,1.33e-06
2260,0.16476,0.0,1.34e-06
2280,0.14537,0.0,1.36e-06
2300,0.17484,0.0,1.38e-06
2320,0.16671,0.0,1.4e-06
2340,0.16316,0.0,1.42e-06
2360,0.18555,0.0,1.43e-06
2380,0.16674,0.0,1.45e-06
2400,0.15007,0.0,1.47e-06
2420,0.15671,0.0,1.49e-06
2440,0.14722,0.0,1.51e-06
2460,0.16784,0.0,1.52e-06
2480,0.15317,0.0,1.54e-06
2500,0.16709,0.0,1.56e-06
2520,0.17095,0.0,1.58e-06
2540,0.17203,0.0,1.6e-06
2560,0.16332,0.0,1.61e-06
2580,0.16234,0.0,1.63e-06
2600,0.17031,0.0,1.65e-06
2620,0.16294,0.0,1.67e-06
2640,0.17021,0.0,1.69e-06
2660,0.15585,0.0,1.7e-06
2680,0.1745,0.0,1.72e-06
2700,0.14938,0.0,1.74e-06
2720,0.17761,0.0,1.76e-06
2740,0.15832,0.0,1.78e-06
2760,0.16419,0.0,1.79e-06
2780,0.17005,0.0,1.81e-06
2800,0.16713,0.0,1.83e-06
2820,0.16708,0.0,1.85e-06
2840,0.1431,0.0,1.87e-06
2860,0.15502,0.0,1.88e-06
2880,0.15753,0.0,1.9e-06
2900,0.16137,0.0,1.92e-06
2920,0.15229,0.0,1.94e-06
2940,0.15463,0.0,1.95e-06
2960,0.15297,0.0,1.97e-06
2980,0.1525,0.0,1.99e-06
3000,0.14626,0.0,2.01e-06
3020,0.15467,0.0,2.02e-06
3040,0.13877,0.0,2.04e-06
3060,0.14683,0.0,2.06e-06
3080,0.15932,0.0,2.07e-06
3100,0.16115,0.0,2.09e-06
3120,0.15314,0.0,2.11e-06
3140,0.17228,0.0,2.12e-06
3160,0.16265,0.0,2.14e-06
3180,0.16383,0.0,2.16e-06
3200,0.16465,0.0,2.17e-06
3220,0.15124,0.0,2.19e-06
3240,0.161,0.0,2.21e-06
3260,0.15859,0.0,2.22e-06
3280,0.16939,0.0,2.24e-06
3300,0.1642,0.0,2.25e-06
3320,0.17051,0.0,2.27e-06
3340,0.17411,0.0,2.29e-06
3360,0.17016,0.0,2.3e-06
3380,0.15793,0.0,2.32e-06
3400,0.17746,0.0,2.33e-06
3420,0.15467,0.0,2.35e-06
3440,0.15763,0.0,2.36e-06
3460,0.14393,0.0,2.38e-06
3480,0.14584,0.0,2.39e-06
3500,0.14806,0.0,2.41e-06
3520,0.15421,0.0,2.42e-06
3540,0.15312,0.0,2.44e-06
3560,0.17171,0.0,2.45e-06
3580,0.16241,0.0,2.46e-06
3600,0.15055,0.0,2.48e-06
3620,0.14969,0.0,2.49e-06
3640,0.15773,0.0,2.51e-06
3660,0.15015,0.0,2.52e-06
3680,0.14722,0.0,2.53e-06
3700,0.1605,0.0,2.55e-06
3720,0.16129,0.0,2.56e-06
3740,0.16711,0.0,2.57e-06
3760,0.1661,0.0,2.59e-06
3780,0.14709,0.0,2.6e-06
3800,0.16765,0.0,2.61e-06
3820,0.16986,0.0,2.62e-06
3840,0.1598,0.0,2.63e-06
3860,0.15738,0.0,2.65e-06
3880,0.15292,0.0,2.66e-06
3900,0.1564,0.0,2.67e-06
3920,0.17006,0.0,2.68e-06
3940,0.15541,0.0,2.69e-06
3960,0.16396,0.0,2.7e-06
3980,0.16421,0.0,2.71e-06
4000,0.14847,0.0,2.73e-06
4020,0.15724,0.0,2.74e-06
4040,0.17117,0.0,2.75e-06
4060,0.15807,0.0,2.76e-06
4080,0.14669,0.0,2.77e-06
4100,0.15853,0.0,2.78e-06
4120,0.15863,0.0,2.79e-06
